"Point est.","Upper C.I."
1.00119175136629,1.0041604039468
1.00061219968424,1.00175630122544
1.00006893863604,1.00033982223658
1.0020756523413,1.00401689804671
1.00027719653547,1.00132729898247
1.0002129105237,1.00108994042163
1.00299082527058,1.00947092734215
1.00073447773237,1.00360025898489
1.0012020505343,1.00488947804377
1.00053633253644,1.00149074188673
1.00215022552363,1.00789445904182
1.00023082947409,1.00101502888297
1.0001954850904,1.00019861501067
0.999985464857065,0.999990013510127
1.00006816179339,1.00029788796872
1.00022439947179,1.00106205763964
1.00046816289749,1.0022864827982
1.00053606655665,1.00201565070545
1.00001125866548,1.00012395055062
1.0004155285918,1.00155090529786
1.00005189119301,1.0002438304343
1.00002462331958,1.00011461779468
1.00026750729887,1.00034831265993
1.00007412651443,1.00030685227115
1.0000917123427,1.00045663039513
1.00003364579804,1.00024453538474
1.00001535640206,1.00013557122841
1.00025184352888,1.00029151929686
1.00052418604355,1.00268374590007
1.00032199279609,1.00126224671777
1.00006216798466,1.00039256354449
1.00009764380922,1.00009777173114
1.0001119250504,1.0003944309061
1.0002508366085,1.00027306641485
1.00043771441658,1.00227318037458
1.00081432420879,1.00406068656494
1.00045888844136,1.0020460819098
1.00038285013974,1.0014864630785
1.00041580806359,1.00191314082517
1.00034784460035,1.00172895683032
1.00066454293844,1.00067584996737
1.00044222903263,1.00228810779995
1.00007441312364,1.00045101742284
1.00033697920894,1.00048944499848
1.00013089845151,1.00013332259366
1.00000963365537,1.00003259545742
1.00001427012087,1.0000783930428
1.00027056047754,1.0006877102192
1.00043048833497,1.00188311950941
1.00009868464164,1.00035350220417
1.00023547269784,1.00097067944011
1.00015217411301,1.00079617831273
1.00009446961619,1.00015516330219
1.00016675151341,1.00075106020538
1.00008815238258,1.00009799701405
1.00005072334997,1.00015029129875
1.0004029489066,1.00122594306719
1.00004929945213,1.00032396880445
1.00007504738438,1.00016729750047
0.999995692156219,1.00003398531609
1.00084494440417,1.00396216835634
1.00001177236356,1.0000120145135
1.00004667298448,1.00021096916952
1.0000110584009,1.0001203623008
1.00132155902434,1.00653449593255
1.00252100192831,1.00800875949807
1.00013749876403,1.000248310902
0.999996482353571,1.0000512877105
0.999980582546675,0.999980769582152
1.00019304992532,1.00046793539746
1.00035921109403,1.00149889713039
1.00043043788499,1.00220686563439
1.00008053232725,1.00047772868716
1.00012533429157,1.00029048578737
1.00009876418495,1.00034301667213
1.00039206941114,1.0018892794066
1.00003728126895,1.00004167918677
1.00036870107734,1.00040684558588
1.00017344360124,1.00089174678013
1.0003112937617,1.00131039583604
1.00027773428466,1.00147305781406
1.00039263685116,1.00182002636929
1.00001031731687,1.00012539807462
1.00053922958546,1.00075036288059
1.0000490713954,1.00013994686808
1.00047268744669,1.00200693994328
1.00080052524915,1.00380079149123
0.999992468496829,1.00001042661204
1.00035046814214,1.00161509701481
1.00030661924778,1.00151136712044
